iter	RMSE
0	38.33928902
1	37.97218211
2	37.69048556
3	37.23281909
4	36.84370551
5	36.42323924
6	36.00392415
7	35.58182567
8	35.20737973
9	34.82113524
10	34.55214963
11	34.20793127
12	33.99470462
13	33.65103486
14	33.2786035
15	33.06941538
16	32.75374095
17	32.42763506
18	32.08770717
19	31.78768803
20	31.49124197
21	31.14197224
22	30.84132552
23	30.554413
24	30.36386195
25	30.06623877
26	29.77884518
27	29.57804921
28	29.28968589
29	28.94987392
30	28.65872419
31	28.4799292
32	28.2149242
33	27.93869602
34	27.64798209
35	27.35468442
36	27.15123002
37	26.88935321
38	26.65000828
39	26.48343933
40	26.22331024
41	26.05792012
42	25.78280799
43	25.55010609
44	25.32382578
45	25.12224859
46	24.89641255
47	24.73726706
48	24.5424609
49	24.3882192
50	24.17749702
51	23.93906809
52	23.79290739
53	23.6446847
54	23.48925456
55	23.345283
56	23.10902231
57	22.90815818
58	22.68325921
59	22.48956498
60	22.2814056
61	22.12618796
62	21.9716468
63	21.83728678
64	21.64724141
65	21.49577932
66	21.30891903
67	21.13416106
68	20.95259263
69	20.78293193
70	20.65926325
71	20.4947978
72	20.37356529
73	20.25421468
74	20.13819232
75	19.94708362
76	19.79192067
77	19.63632277
78	19.5234337
79	19.40389471
80	19.2371397
81	19.1151433
82	18.98927708
83	18.87887649
84	18.75910029
85	18.6559665
86	18.50577042
87	18.40228905
88	18.26233882
89	18.16104255
90	18.04848391
91	17.90099026
92	17.78774086
93	17.67153566
94	17.53971698
95	17.44450407
96	17.35208404
97	17.22622373
98	17.13681895
99	17.00692307
100	16.83568739
101	16.74333468
102	16.62369797
103	16.53298112
104	16.41938114
105	16.30735362
106	16.21325895
107	16.10466161
108	16.02113948
109	15.90870308
110	15.80196116
111	15.69743078
112	15.59515215
113	15.48870621
114	15.389469
115	15.28988692
116	15.21797325
117	15.11878255
118	15.01214309
119	14.93958367
120	14.86947172
121	14.80107691
122	14.73128603
123	14.64279038
124	14.56988979
125	14.43653354
126	14.30866895
127	14.23044981
128	14.14856438
129	14.06738463
130	13.92040724
131	13.76821307
132	13.68835195
133	13.61694353
134	13.55222432
135	13.48996525
